x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
195,793,13:21:29:907,Quarter Circle,0,0,1383,864
445,759,13:21:30:065,Quarter Circle,1184,-199,1383,864
618,655,13:21:30:234,Quarter Circle,608,-674,1383,864
728,456,13:21:30:403,Quarter Circle,221,-669,1383,864
731,434,13:21:30:706,Quarter Circle,-5,-17,1383,864
722,403,13:21:30:875,Quarter Circle,-55,-134,1383,864
713,377,13:21:31:027,Quarter Circle,0,-113,1383,864
714,358,13:21:31:178,Quarter Circle,0,-109,1383,864
714,347,13:21:31:393,Quarter Circle,0,0,1383,864
END_OF_STROKE,0,0,13:21:31:432,END_OF_STROKE,0,0,0
191,777,13:21:32:307,Quarter Circle,-597,487,1383,864
219,805,13:21:32:471,Quarter Circle,1375,192,1383,864
522,759,13:21:32:634,Quarter Circle,1391,-981,1383,864
677,621,13:21:32:803,Quarter Circle,451,-545,1383,864
730,524,13:21:32:959,Quarter Circle,159,-448,1383,864
752,439,13:21:33:125,Quarter Circle,0,-512,1383,864
734,422,13:21:33:341,Quarter Circle,-85,-75,1383,864
667,290,13:21:33:506,Quarter Circle,0,-306,1383,864
674,253,13:21:33:693,Quarter Circle,79,-96,1383,864
690,239,13:21:33:843,Quarter Circle,159,-128,1383,864
704,224,13:21:34:009,Quarter Circle,106,-64,1383,864
708,218,13:21:34:163,Quarter Circle,47,-57,1383,864
724,225,13:21:34:338,Quarter Circle,47,57,1383,864
736,243,13:21:34:501,Quarter Circle,152,123,1383,864
753,256,13:21:34:653,Quarter Circle,58,70,1383,864
END_OF_STROKE,0,0,13:21:34:852,END_OF_STROKE,0,0,0
196,797,13:21:38:141,Quarter Circle,-165,160,1383,864
511,665,13:21:38:313,Quarter Circle,1651,-1366,1383,864
669,484,13:21:38:478,Quarter Circle,341,-294,1383,864
670,481,13:21:38:628,Quarter Circle,33,-40,1383,864
728,394,13:21:38:799,Quarter Circle,87,-105,1383,864
729,392,13:21:39:123,Quarter Circle,4,-10,1383,864
757,344,13:21:39:299,Quarter Circle,84,-203,1383,864
774,299,13:21:39:449,Quarter Circle,0,-339,1383,864
774,283,13:21:39:619,Quarter Circle,0,0,1383,864
END_OF_STROKE,0,0,13:21:39:672,END_OF_STROKE,0,0,0
178,795,13:21:40:691,Quarter Circle,-580,499,1383,864
549,625,13:21:40:855,Quarter Circle,2046,-602,1383,864
715,503,13:21:41:020,Quarter Circle,111,-201,1383,864
759,406,13:21:41:183,Quarter Circle,608,-1532,1383,864
801,283,13:21:41:350,Quarter Circle,0,-176,1383,864
798,278,13:21:41:521,Quarter Circle,-45,0,1383,864
796,278,13:21:41:820,Quarter Circle,7,0,1383,864
797,274,13:21:41:991,Quarter Circle,-94,-113,1383,864
END_OF_STROKE,0,0,13:21:42:001,END_OF_STROKE,0,0,0
282,425,13:22:39:488,Hexagon,-9,3,1383,864
848,415,13:22:39:656,Hexagon,1420,-98,1383,864
888,424,13:22:39:871,Hexagon,0,0,1383,864
953,419,13:22:40:033,Hexagon,45,0,1383,864
954,417,13:22:40:189,Hexagon,0,-67,1383,864
END_OF_STROKE,0,0,13:22:40:209,END_OF_STROKE,0,0,0
96,434,13:22:41:410,Purple Diamond,-703,14,1383,864
593,539,13:22:41:563,Purple Diamond,1848,0,1383,864
775,559,13:22:41:740,Purple Diamond,462,51,1383,864
823,568,13:22:41:911,Purple Diamond,317,-64,1383,864
852,556,13:22:42:073,Purple Diamond,265,-128,1383,864
871,543,13:22:42:243,Purple Diamond,111,-67,1383,864
877,540,13:22:42:394,Purple Diamond,51,0,1383,864
END_OF_STROKE,0,0,13:22:42:434,END_OF_STROKE,0,0,0
276,224,13:22:44:508,Trapezoid,-292,-150,1383,864
896,459,13:22:44:669,Trapezoid,1338,441,1383,864
950,489,13:22:44:831,Trapezoid,275,190,1383,864
1012,515,13:22:44:993,Trapezoid,212,0,1383,864
1032,496,13:22:45:161,Trapezoid,0,-67,1383,864
1034,489,13:22:45:370,Trapezoid,14,0,1383,864
END_OF_STROKE,0,0,13:22:45:526,END_OF_STROKE,0,0,0
263,646,13:22:46:354,Yellow Diamond,-922,190,1383,864
616,611,13:22:46:526,Yellow Diamond,2738,-674,1383,864
914,475,13:22:46:693,Yellow Diamond,963,-613,1383,864
917,484,13:22:46:859,Yellow Diamond,0,118,1383,864
END_OF_STROKE,0,0,13:22:46:975,END_OF_STROKE,0,0,0
101,69,13:22:50:960,Equilateral Triangle,-204,-104,1383,864
256,130,13:22:51:123,Equilateral Triangle,952,256,1383,864
393,165,13:22:51:288,Equilateral Triangle,1245,376,1383,864
552,221,13:22:51:458,Equilateral Triangle,579,350,1383,864
600,247,13:22:51:633,Equilateral Triangle,140,113,1383,864
607,253,13:22:51:803,Equilateral Triangle,0,0,1383,864
END_OF_STROKE,0,0,13:22:51:885,END_OF_STROKE,0,0,0
110,84,13:22:52:904,Equilateral Triangle,-463,-157,1383,864
392,119,13:22:53:069,Equilateral Triangle,1428,256,1383,864
583,137,13:22:53:238,Equilateral Triangle,963,61,1383,864
736,134,13:22:53:393,Equilateral Triangle,507,-61,1383,864
762,128,13:22:53:559,Equilateral Triangle,55,0,1383,864
END_OF_STROKE,0,0,13:22:53:647,END_OF_STROKE,0,0,0
85,81,13:22:54:387,Equilateral Triangle,-915,-64,1383,864
END_OF_STROKE,0,0,13:22:54:566,END_OF_STROKE,0,0,0
259,649,13:22:55:538,Yellow Diamond,179,552,1383,864
279,664,13:22:55:697,Yellow Diamond,2231,-1164,1383,864
966,517,13:22:55:859,Yellow Diamond,1051,-267,1383,864
1011,493,13:22:56:012,Yellow Diamond,159,-320,1383,864
1055,400,13:22:56:163,Yellow Diamond,203,-306,1383,864
