x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
300,66,09:06:38:942,Square,0,0,1536,960
377,49,09:06:39:109,Square,797,0,1536,960
521,75,09:06:39:275,Square,1125,333,1536,960
686,147,09:06:39:426,Square,881,671,1536,960
764,250,09:06:39:592,Square,199,551,1536,960
834,422,09:06:39:759,Square,930,708,1536,960
947,459,09:06:40:008,Square,-12,0,1536,960
END_OF_STROKE,0,0,09:06:40:051,END_OF_STROKE,0,0,0
296,73,09:06:40:591,Square,-1116,-679,1536,960
607,112,09:06:40:741,Square,2689,797,1536,960
803,364,09:06:40:891,Square,1195,1859,1536,960
968,463,09:06:41:041,Square,1266,250,1536,960
1075,457,09:06:41:191,Square,75,-89,1536,960
END_OF_STROKE,0,0,09:06:41:239,END_OF_STROKE,0,0,0
243,780,09:06:41:957,Quarter Circle,-1086,422,1536,960
607,607,09:06:42:108,Quarter Circle,2250,-1750,1536,960
869,426,09:06:42:258,Quarter Circle,1477,-333,1536,960
1005,351,09:06:42:408,Quarter Circle,703,-500,1536,960
1081,330,09:06:42:574,Quarter Circle,141,0,1536,960
1081,333,09:06:42:740,Quarter Circle,0,17,1536,960
1072,360,09:06:42:974,Quarter Circle,0,14,1536,960
END_OF_STROKE,0,0,09:06:43:063,END_OF_STROKE,0,0,0
235,786,09:06:44:423,Quarter Circle,-565,295,1536,960
544,680,09:06:44:575,Quarter Circle,1477,-500,1536,960
711,596,09:06:44:725,Quarter Circle,930,-787,1536,960
794,493,09:06:44:890,Quarter Circle,747,-708,1536,960
END_OF_STROKE,0,0,09:06:45:056,END_OF_STROKE,0,0,0
215,789,09:06:45:907,Quarter Circle,-667,373,1536,960
581,596,09:06:46:057,Quarter Circle,1793,-1240,1536,960
715,515,09:06:46:208,Quarter Circle,141,0,1536,960
773,504,09:06:46:374,Quarter Circle,492,-167,1536,960
842,473,09:06:46:525,Quarter Circle,211,-167,1536,960
END_OF_STROKE,0,0,09:06:46:786,END_OF_STROKE,0,0,0
98,612,09:06:47:603,Right Triangle,-757,148,1536,960
398,538,09:06:47:756,Right Triangle,2689,0,1536,960
636,535,09:06:47:907,Right Triangle,996,236,1536,960
757,573,09:06:48:073,Right Triangle,633,83,1536,960
END_OF_STROKE,0,0,09:06:48:292,END_OF_STROKE,0,0,0
100,607,09:06:48:982,Right Triangle,-898,47,1536,960
516,498,09:06:49:141,Right Triangle,3445,-1000,1536,960
849,520,09:06:49:306,Right Triangle,1758,750,1536,960
1051,552,09:06:49:456,Right Triangle,1046,266,1536,960
1121,565,09:06:49:606,Right Triangle,37,0,1536,960
END_OF_STROKE,0,0,09:06:49:629,END_OF_STROKE,0,0,0
100,599,09:06:50:423,Right Triangle,-1275,46,1536,960
720,392,09:06:50:574,Right Triangle,4359,-1583,1536,960
1022,323,09:06:50:741,Right Triangle,996,0,1536,960
