x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
195,103,14:39:32:013,Square,0,0,1440,900
417,120,14:39:32:180,Square,6276,840,1440,900
730,222,14:39:32:351,Square,37,44,1440,900
740,278,14:39:32:516,Square,0,117,1440,900
END_OF_STROKE,0,0,14:39:32:597,END_OF_STROKE,0,0,0
221,94,14:39:33:394,Square,-780,-344,1440,900
700,327,14:39:33:550,Square,2600,2148,1440,900
729,354,14:39:33:717,Square,0,22,1440,900
END_OF_STROKE,0,0,14:39:33:838,END_OF_STROKE,0,0,0
241,124,14:39:34:481,Square,-901,-507,1440,900
383,193,14:39:34:646,Square,4723,2806,1440,900
711,426,14:39:34:815,Square,571,563,1440,900
717,430,14:39:35:012,Square,0,0,1440,900
END_OF_STROKE,0,0,14:39:35:067,END_OF_STROKE,0,0,0
211,106,14:39:35:548,Square,-1271,-965,1440,900
275,193,14:39:35:712,Square,566,1040,1440,900
274,197,14:39:35:880,Square,-69,-83,1440,900
274,196,14:39:36:147,Square,6,0,1440,900
222,138,14:39:36:311,Square,-888,-1191,1440,900
196,88,14:39:36:477,Square,-38,-45,1440,900
675,450,14:39:36:645,Square,2380,1885,1440,900
702,472,14:39:36:812,Square,-36,85,1440,900
693,473,14:39:36:980,Square,-104,-83,1440,900
676,459,14:39:37:147,Square,0,0,1440,900
END_OF_STROKE,0,0,14:39:37:158,END_OF_STROKE,0,0,0
124,260,14:39:40:078,Right Triangle,-229,-99,1440,900
292,265,14:39:40:244,Right Triangle,4143,207,1440,900
541,350,14:39:40:409,Right Triangle,0,0,1440,900
541,351,14:39:40:609,Right Triangle,0,7,1440,900
END_OF_STROKE,0,0,14:39:40:710,END_OF_STROKE,0,0,0
103,278,14:39:41:276,Right Triangle,-880,-191,1440,900
133,280,14:39:41:441,Right Triangle,1066,85,1440,900
479,377,14:39:41:608,Right Triangle,622,307,1440,900
555,403,14:39:41:775,Right Triangle,1108,402,1440,900
586,413,14:39:41:941,Right Triangle,37,0,1440,900
603,420,14:39:42:108,Right Triangle,37,44,1440,900
END_OF_STROKE,0,0,14:39:42:168,END_OF_STROKE,0,0,0
116,268,14:39:42:909,Right Triangle,-735,-275,1440,900
321,269,14:39:43:075,Right Triangle,5098,45,1440,900
783,352,14:39:43:241,Right Triangle,110,44,1440,900
784,352,14:39:43:445,Right Triangle,0,0,1440,900
839,381,14:39:43:606,Right Triangle,142,128,1440,900
843,381,14:39:43:774,Right Triangle,107,0,1440,900
860,381,14:39:43:940,Right Triangle,284,0,1440,900
868,382,14:39:44:207,Right Triangle,0,0,1440,900
END_OF_STROKE,0,0,14:39:44:265,END_OF_STROKE,0,0,0
99,118,14:39:45:040,Circle,-1196,-492,1440,900
152,134,14:39:45:207,Circle,1692,661,1440,900
682,477,14:39:45:374,Circle,888,723,1440,900
688,482,14:39:45:541,Circle,0,0,1440,900
690,481,14:39:45:691,Circle,0,0,1440,900
END_OF_STROKE,0,0,14:39:45:692,END_OF_STROKE,0,0,0
92,119,14:39:46:371,Circle,-1063,-770,1440,900
385,218,14:39:46:542,Circle,7605,3489,1440,900
757,453,14:39:46:709,Circle,73,88,1440,900
758,454,14:39:46:872,Circle,0,0,1440,900
782,452,14:39:47:038,Circle,604,0,1440,900
