x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
239,140,11:45:14:381,Square,0,0,1440,900
245,140,11:45:14:532,Square,518,0,1440,900
775,236,11:45:14:693,Square,2054,651,1440,900
808,236,11:45:14:857,Square,-284,-340,1440,900
END_OF_STROKE,0,0,11:45:14:971,END_OF_STROKE,0,0,0
224,87,11:45:15:483,Square,-1336,-352,1440,900
256,95,11:45:15:638,Square,1867,657,1440,900
747,294,11:45:15:804,Square,1137,510,1440,900
772,295,11:45:15:970,Square,142,-170,1440,900
769,278,11:45:16:121,Square,-64,-76,1440,900
END_OF_STROKE,0,0,11:45:16:233,END_OF_STROKE,0,0,0
238,119,11:45:16:999,Square,-832,-296,1440,900
748,252,11:45:17:150,Square,2870,1356,1440,900
796,279,11:45:17:302,Square,-71,0,1440,900
END_OF_STROKE,0,0,11:45:17:426,END_OF_STROKE,0,0,0
242,125,11:45:17:988,Square,-1183,-383,1440,900
426,218,11:45:18:147,Square,5362,3435,1440,900
772,425,11:45:18:297,Square,71,85,1440,900
END_OF_STROKE,0,0,11:45:18:409,END_OF_STROKE,0,0,0
235,114,11:45:19:370,Square,-674,-464,1440,900
258,124,11:45:19:529,Square,1279,766,1440,900
665,415,11:45:19:696,Square,890,913,1440,900
748,474,11:45:19:860,Square,213,255,1440,900
751,477,11:45:20:079,Square,0,0,1440,900
END_OF_STROKE,0,0,11:45:20:125,END_OF_STROKE,0,0,0
174,541,11:45:20:885,Purple Diamond,-903,124,1440,900
452,540,11:45:21:040,Purple Diamond,7572,0,1440,900
728,578,11:45:21:191,Purple Diamond,0,0,1440,900
751,553,11:45:21:359,Purple Diamond,242,-145,1440,900
END_OF_STROKE,0,0,11:45:21:451,END_OF_STROKE,0,0,0
181,386,11:45:22:088,Hexagon,-1087,-374,1440,900
358,383,11:45:22:238,Hexagon,5686,-85,1440,900
698,390,11:45:22:388,Hexagon,0,0,1440,900
698,390,11:45:22:553,Hexagon,0,0,1440,900
628,423,11:45:22:703,Hexagon,-302,362,1440,900
615,430,11:45:22:853,Hexagon,-142,0,1440,900
END_OF_STROKE,0,0,11:45:22:914,END_OF_STROKE,0,0,0
191,402,11:45:23:425,Hexagon,-994,-73,1440,900
352,350,11:45:23:588,Hexagon,4134,-1294,1440,900
587,322,11:45:23:752,Hexagon,0,0,1440,900
636,286,11:45:23:919,Hexagon,64,-76,1440,900
END_OF_STROKE,0,0,11:45:23:964,END_OF_STROKE,0,0,0
179,408,11:45:24:571,Hexagon,-908,293,1440,900
770,256,11:45:24:735,Hexagon,3202,-578,1440,900
850,243,11:45:24:898,Hexagon,0,0,1440,900
863,248,11:45:25:048,Hexagon,161,289,1440,900
850,290,11:45:25:234,Hexagon,0,0,1440,900
END_OF_STROKE,0,0,11:45:25:261,END_OF_STROKE,0,0,0
206,376,11:45:25:974,Hexagon,-1090,180,1440,900
320,376,11:45:26:135,Hexagon,5664,0,1440,900
887,411,11:45:26:296,Hexagon,564,193,1440,900
897,409,11:45:26:446,Hexagon,0,0,1440,900
END_OF_STROKE,0,0,11:45:26:526,END_OF_STROKE,0,0,0
226,291,11:45:27:398,Equilateral Triangle,-933,-187,1440,900
364,291,11:45:27:560,Equilateral Triangle,4531,0,1440,900
647,300,11:45:27:711,Equilateral Triangle,0,0,1440,900
563,264,11:45:27:961,Equilateral Triangle,0,0,1440,900
END_OF_STROKE,0,0,11:45:27:967,END_OF_STROKE,0,0,0
