x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
230,291,11:45:28:598,Equilateral Triangle,-639,62,1440,900
513,372,11:45:28:759,Equilateral Triangle,4620,2212,1440,900
616,428,11:45:28:960,Equilateral Triangle,0,0,1440,900
END_OF_STROKE,0,0,11:45:29:068,END_OF_STROKE,0,0,0
219,297,11:45:30:894,Equilateral Triangle,-254,-100,1440,900
260,297,11:45:31:057,Equilateral Triangle,2132,0,1440,900
764,299,11:45:31:223,Equilateral Triangle,284,85,1440,900
766,301,11:45:31:379,Equilateral Triangle,0,0,1440,900
644,368,11:45:31:541,Equilateral Triangle,-500,100,1440,900
630,365,11:45:31:704,Equilateral Triangle,0,-193,1440,900
END_OF_STROKE,0,0,11:45:31:733,END_OF_STROKE,0,0,0
207,280,11:45:32:471,Equilateral Triangle,-696,-155,1440,900
207,281,11:45:32:638,Equilateral Triangle,0,9,1440,900
532,289,11:45:32:804,Equilateral Triangle,3263,362,1440,900
878,320,11:45:32:955,Equilateral Triangle,2035,-152,1440,900
947,326,11:45:33:121,Equilateral Triangle,-483,362,1440,900
763,353,11:45:33:285,Equilateral Triangle,-81,-193,1440,900
END_OF_STROKE,0,0,11:45:33:316,END_OF_STROKE,0,0,0
208,290,11:45:33:929,Equilateral Triangle,-1090,-141,1440,900
272,289,11:45:34:089,Equilateral Triangle,2618,-80,1440,900
1055,287,11:45:34:251,Equilateral Triangle,1544,0,1440,900
1083,281,11:45:34:402,Equilateral Triangle,0,-80,1440,900
1083,276,11:45:34:566,Equilateral Triangle,0,-96,1440,900
END_OF_STROKE,0,0,11:45:34:596,END_OF_STROKE,0,0,0
215,295,11:45:36:345,Equilateral Triangle,-600,17,1440,900
217,295,11:45:36:547,Equilateral Triangle,19,0,1440,900
217,295,11:45:36:950,Equilateral Triangle,0,0,1440,900
257,281,11:45:37:113,Equilateral Triangle,1128,-482,1440,900
647,173,11:45:37:262,Equilateral Triangle,3107,-1136,1440,900
720,157,11:45:37:415,Equilateral Triangle,0,0,1440,900
761,157,11:45:37:581,Equilateral Triangle,127,76,1440,900
808,211,11:45:37:747,Equilateral Triangle,569,936,1440,900
872,404,11:45:37:915,Equilateral Triangle,121,723,1440,900
911,408,11:45:38:079,Equilateral Triangle,498,-170,1440,900
932,407,11:45:38:247,Equilateral Triangle,0,30,1440,900
935,415,11:45:38:412,Equilateral Triangle,0,0,1440,900
END_OF_STROKE,0,0,11:45:38:480,END_OF_STROKE,0,0,0
163,463,11:45:39:855,Yellow Diamond,-675,50,1440,900
205,423,11:45:40:010,Yellow Diamond,1813,-2066,1440,900
478,166,11:45:40:161,Yellow Diamond,529,-542,1440,900
526,153,11:45:40:312,Yellow Diamond,378,-90,1440,900
564,130,11:45:40:476,Yellow Diamond,355,-170,1440,900
END_OF_STROKE,0,0,11:45:40:555,END_OF_STROKE,0,0,0
184,468,11:45:41:411,Yellow Diamond,-556,576,1440,900
512,253,11:45:41:576,Yellow Diamond,3558,-2330,1440,900
764,188,11:45:41:741,Yellow Diamond,1208,-90,1440,900
855,156,11:45:41:892,Yellow Diamond,382,-304,1440,900
