"Timestamp: 255308 ms, X: -0.04 Y: 0.15 Z: 1.06"
"Timestamp: 257309 ms, X: -0.05 Y: 0.14 Z: 1.05"
"Timestamp: 259310 ms, X: -0.05 Y: 0.15 Z: 1.06"
"Timestamp: 261311 ms, X: -0.05 Y: 0.13 Z: 1.04"
