x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
245,102,14:41:26:754,Square,0,0,1440,900
577,128,14:41:26:921,Square,5961,1059,1440,900
682,138,14:41:27:086,Square,0,0,1440,900
685,138,14:41:27:255,Square,69,0,1440,900
698,144,14:41:27:420,Square,36,0,1440,900
698,144,14:41:27:588,Square,0,0,1440,900
750,204,14:41:27:754,Square,39,47,1440,900
END_OF_STROKE,0,0,14:41:27:822,END_OF_STROKE,0,0,0
247,113,14:41:28:420,Square,-1015,-219,1440,900
376,154,14:41:28:586,Square,3021,1588,1440,900
682,339,14:41:28:752,Square,273,233,1440,900
696,295,14:41:28:919,Square,273,-1164,1440,900
712,261,14:41:29:086,Square,78,-140,1440,900
END_OF_STROKE,0,0,14:41:29:197,END_OF_STROKE,0,0,0
247,88,14:41:29:853,Square,-861,-366,1440,900
756,407,14:41:30:018,Square,2270,1881,1440,900
784,420,14:41:30:185,Square,-40,-241,1440,900
763,361,14:41:30:352,Square,-36,-85,1440,900
END_OF_STROKE,0,0,14:41:30:452,END_OF_STROKE,0,0,0
212,115,14:41:31:020,Square,-1166,-616,1440,900
698,355,14:41:31:184,Square,2346,1826,1440,900
734,382,14:41:31:388,Square,0,-14,1440,900
END_OF_STROKE,0,0,14:41:31:449,END_OF_STROKE,0,0,0
END_OF_STROKE,0,0,14:41:32:248,END_OF_STROKE,0,0,0
231,111,14:41:32:619,Square,-519,-329,1440,900
386,191,14:41:32:783,Square,4342,2933,1440,900
895,546,14:41:32:951,Square,101,120,1440,900
866,544,14:41:33:120,Square,-604,-42,1440,900
726,476,14:41:33:283,Square,-107,-85,1440,900
END_OF_STROKE,0,0,14:41:33:500,END_OF_STROKE,0,0,0
197,547,14:41:34:181,Purple Diamond,-771,125,1440,900
268,540,14:41:34:348,Purple Diamond,2380,-306,1440,900
659,573,14:41:34:517,Purple Diamond,1174,536,1440,900
732,588,14:41:34:681,Purple Diamond,220,-219,1440,900
749,577,14:41:34:847,Purple Diamond,76,0,1440,900
770,564,14:41:35:014,Purple Diamond,220,-131,1440,900
END_OF_STROKE,0,0,14:41:35:117,END_OF_STROKE,0,0,0
186,360,14:41:35:653,Hexagon,-1244,-513,1440,900
529,371,14:41:35:818,Hexagon,915,219,1440,900
560,388,14:41:35:981,Hexagon,656,413,1440,900
596,406,14:41:36:326,Hexagon,0,0,1440,900
END_OF_STROKE,0,0,14:41:36:328,END_OF_STROKE,0,0,0
195,373,14:41:36:814,Hexagon,-993,-98,1440,900
550,207,14:41:36:983,Hexagon,842,-306,1440,900
598,234,14:41:37:148,Hexagon,819,605,1440,900
636,254,14:41:37:317,Hexagon,0,0,1440,900
END_OF_STROKE,0,0,14:41:37:449,END_OF_STROKE,0,0,0
222,289,14:41:38:447,Equilateral Triangle,-501,52,1440,900
546,260,14:41:38:614,Equilateral Triangle,1574,0,1440,900
571,268,14:41:38:779,Equilateral Triangle,0,42,1440,900
END_OF_STROKE,0,0,14:41:38:909,END_OF_STROKE,0,0,0
216,272,14:41:39:478,Equilateral Triangle,-739,3,1440,900
545,404,14:41:39:643,Equilateral Triangle,702,326,1440,900
END_OF_STROKE,0,0,14:41:39:907,END_OF_STROKE,0,0,0
217,289,14:41:40:447,Equilateral Triangle,-518,-218,1440,900
657,320,14:41:40:614,Equilateral Triangle,2853,401,1440,900
