x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
295,123,18:28:56:262,Square,0,0,1920,1080
509,190,18:28:56:412,Square,9900,4420,1920,1080
991,510,18:28:56:663,Square,0,10,1920,1080
END_OF_STROKE,0,0,18:28:56:743,END_OF_STROKE,0,0,0
303,107,18:28:57:812,Square,-731,-506,1920,1080
1089,358,18:28:57:978,Square,816,549,1920,1080
1090,359,18:28:58:128,Square,0,0,1920,1080
1006,387,18:28:58:278,Square,-723,500,1920,1080
END_OF_STROKE,0,0,18:28:58:377,END_OF_STROKE,0,0,0
262,81,18:28:58:959,Square,-1315,-640,1920,1080
751,268,18:28:59:111,Square,11201,5755,1920,1080
1141,490,18:28:59:262,Square,68,78,1920,1080
1129,490,18:28:59:428,Square,-487,0,1920,1080
1043,476,18:28:59:578,Square,-1518,-751,1920,1080
1011,459,18:28:59:728,Square,0,0,1920,1080
END_OF_STROKE,0,0,18:28:59:793,END_OF_STROKE,0,0,0
140,283,18:29:00:462,Right Triangle,-1372,-320,1920,1080
349,287,18:29:00:612,Right Triangle,8298,392,1920,1080
744,411,18:29:00:778,Right Triangle,-340,1020,1920,1080
765,472,18:29:00:928,Right Triangle,1836,392,1920,1080
876,488,18:29:01:078,Right Triangle,0,0,1920,1080
873,509,18:29:01:228,Right Triangle,-128,667,1920,1080
861,526,18:29:01:378,Right Triangle,-68,0,1920,1080
843,524,18:29:01:528,Right Triangle,-272,0,1920,1080
END_OF_STROKE,0,0,18:29:01:610,END_OF_STROKE,0,0,0
839,521,18:29:02:061,Right Triangle,0,0,1920,1080
841,521,18:29:02:309,Right Triangle,0,0,1920,1080
839,521,18:29:02:628,Right Triangle,-6,0,1920,1080
839,521,18:29:02:795,Right Triangle,0,0,1920,1080
838,521,18:29:02:945,Right Triangle,0,0,1920,1080
838,520,18:29:03:528,Right Triangle,0,0,1920,1080
835,521,18:29:03:694,Right Triangle,-64,0,1920,1080
828,524,18:29:03:860,Right Triangle,-68,0,1920,1080
824,525,18:29:04:010,Right Triangle,0,0,1920,1080
821,525,18:29:04:160,Right Triangle,0,0,1920,1080
821,525,18:29:04:360,Right Triangle,0,0,1920,1080
818,523,18:29:04:510,Right Triangle,-72,0,1920,1080
816,514,18:29:04:660,Right Triangle,0,-235,1920,1080
END_OF_STROKE,0,0,18:29:04:934,END_OF_STROKE,0,0,0
116,274,18:29:05:927,Right Triangle,-702,-269,1920,1080
1260,459,18:29:06:094,Right Triangle,771,297,1920,1080
1161,493,18:29:06:260,Right Triangle,-1285,371,1920,1080
1041,474,18:29:06:410,Right Triangle,-204,-78,1920,1080
END_OF_STROKE,0,0,18:29:06:557,END_OF_STROKE,0,0,0
1080,506,18:29:06:963,Right Triangle,106,104,1920,1080
1080,506,18:29:07:326,Right Triangle,0,0,1920,1080
1149,523,18:29:07:610,Right Triangle,0,9,1920,1080
END_OF_STROKE,0,0,18:29:07:757,END_OF_STROKE,0,0,0
70,130,18:29:08:560,Circle,-1451,-614,1920,1080
894,572,18:29:08:726,Circle,1224,1334,1920,1080
END_OF_STROKE,0,0,18:29:09:008,END_OF_STROKE,0,0,0
83,106,18:29:09:610,Circle,-1172,-789,1920,1080
419,173,18:29:09:760,Circle,13535,4082,1920,1080
967,401,18:29:09:927,Circle,17,20,1920,1080
905,455,18:29:10:092,Circle,-68,392,1920,1080
