x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
250,117,14:26:58:672,Square,0,0,1920,1080
251,117,14:26:59:079,Square,0,0,1920,1080
257,119,14:26:59:327,Square,16,0,1920,1080
396,135,14:26:59:492,Square,1336,0,1920,1080
606,138,14:26:59:642,Square,914,85,1920,1080
628,140,14:27:00:030,Square,3,0,1920,1080
661,147,14:27:00:191,Square,332,161,1920,1080
676,161,14:27:00:399,Square,0,0,1920,1080
734,165,14:27:00:557,Square,598,0,1920,1080
756,165,14:27:00:880,Square,0,0,1920,1080
781,192,14:27:01:040,Square,0,0,1920,1080
END_OF_STROKE,0,0,14:27:01:343,END_OF_STROKE,0,0,0
184,551,14:27:02:591,Purple Diamond,-466,339,1920,1080
218,551,14:27:02:756,Purple Diamond,563,0,1920,1080
279,551,14:27:02:921,Purple Diamond,211,0,1920,1080
288,551,14:27:03:192,Purple Diamond,0,0,1920,1080
290,550,14:27:03:407,Purple Diamond,17,0,1920,1080
294,547,14:27:03:591,Purple Diamond,-17,-21,1920,1080
296,548,14:27:03:792,Purple Diamond,12,7,1920,1080
307,552,14:27:03:955,Purple Diamond,0,0,1920,1080
307,551,14:27:04:512,Purple Diamond,0,-3,1920,1080
358,547,14:27:04:669,Purple Diamond,492,0,1920,1080
380,547,14:27:04:820,Purple Diamond,281,0,1920,1080
633,550,14:27:04:985,Purple Diamond,1419,182,1920,1080
688,555,14:27:05:223,Purple Diamond,-14,0,1920,1080
530,553,14:27:05:385,Purple Diamond,-224,0,1920,1080
582,556,14:27:05:536,Purple Diamond,1793,0,1920,1080
707,556,14:27:05:696,Purple Diamond,-80,0,1920,1080
567,514,14:27:05:852,Purple Diamond,-523,-454,1920,1080
560,364,14:27:06:002,Purple Diamond,70,-769,1920,1080
574,345,14:27:06:169,Purple Diamond,398,-404,1920,1080
649,197,14:27:06:334,Purple Diamond,374,-1453,1920,1080
671,109,14:27:06:486,Purple Diamond,0,0,1920,1080
668,110,14:27:06:651,Purple Diamond,-80,0,1920,1080
657,122,14:27:06:802,Purple Diamond,-63,153,1920,1080
648,132,14:27:06:966,Purple Diamond,0,0,1920,1080
648,135,14:27:07:117,Purple Diamond,0,85,1920,1080
END_OF_STROKE,0,0,14:27:08:936,END_OF_STROKE,0,0,0
653,126,14:27:11:640,Purple Diamond,2,-3,1920,1080
691,179,14:27:11:797,Purple Diamond,224,363,1920,1080
709,243,14:27:11:949,Purple Diamond,66,646,1920,1080
701,346,14:27:12:113,Purple Diamond,-70,256,1920,1080
695,416,14:27:12:264,Purple Diamond,0,917,1920,1080
692,445,14:27:12:431,Purple Diamond,-126,0,1920,1080
607,442,14:27:12:859,Purple Diamond,-222,-7,1920,1080
622,442,14:27:13:048,Purple Diamond,0,0,1920,1080
END_OF_STROKE,0,0,14:27:13:054,END_OF_STROKE,0,0,0
627,444,14:27:13:447,Purple Diamond,15,7,1920,1080
760,533,14:27:13:613,Purple Diamond,1195,917,1920,1080
862,592,14:27:13:779,Purple Diamond,141,0,1920,1080
866,593,14:27:14:463,Purple Diamond,0,0,1920,1080
713,536,14:27:14:613,Purple Diamond,-1793,-654,1920,1080
END_OF_STROKE,0,0,14:27:14:623,END_OF_STROKE,0,0,0
171,532,14:27:16:968,Purple Diamond,-268,1,1920,1080
END_OF_STROKE,0,0,14:27:16:974,END_OF_STROKE,0,0,0
249,136,14:27:18:540,Square,59,-366,1920,1080
519,144,14:27:18:691,Square,1793,161,1920,1080
703,207,14:27:18:857,Square,332,565,1920,1080
760,327,14:27:19:008,Square,755,994,1920,1080
764,317,14:27:19:173,Square,75,-182,1920,1080
767,295,14:27:19:324,Square,0,-81,1920,1080
767,287,14:27:19:495,Square,0,0,1920,1080
END_OF_STROKE,0,0,14:27:19:560,END_OF_STROKE,0,0,0
249,137,14:27:20:311,Square,-759,-267,1920,1080
639,161,14:27:20:472,Square,2125,646,1920,1080
732,248,14:27:20:638,Square,0,404,1920,1080
765,313,14:27:20:788,Square,822,636,1920,1080
END_OF_STROKE,0,0,14:27:20:845,END_OF_STROKE,0,0,0
244,129,14:27:22:445,Square,-390,-163,1920,1080
555,291,14:27:22:603,Square,5498,4358,1920,1080
816,473,14:27:22:805,Square,0,0,1920,1080
816,473,14:27:22:971,Square,0,0,1920,1080
END_OF_STROKE,0,0,14:27:23:017,END_OF_STROKE,0,0,0
242,132,14:27:23:712,Square,-982,-704,1920,1080
477,291,14:27:23:868,Square,4852,3931,1920,1080
824,536,14:27:24:018,Square,1942,2088,1920,1080
837,546,14:27:24:169,Square,0,0,1920,1080
END_OF_STROKE,0,0,14:27:24:278,END_OF_STROKE,0,0,0
251,296,14:27:25:015,Equilateral Triangle,-930,-478,1920,1080
491,307,14:27:25:167,Equilateral Triangle,3735,272,1920,1080
625,328,14:27:25:332,Equilateral Triangle,299,91,1920,1080
674,336,14:27:25:483,Equilateral Triangle,822,0,1920,1080
747,337,14:27:25:766,Equilateral Triangle,-7,0,1920,1080
END_OF_STROKE,0,0,14:27:25:773,END_OF_STROKE,0,0,0
216,278,14:27:26:282,Equilateral Triangle,-1230,-166,1920,1080
404,278,14:27:26:434,Equilateral Triangle,2450,0,1920,1080
529,277,14:27:26:600,Equilateral Triangle,315,0,1920,1080
544,275,14:27:26:765,Equilateral Triangle,0,-85,1920,1080
END_OF_STROKE,0,0,14:27:26:869,END_OF_STROKE,0,0,0
233,288,14:27:27:248,Equilateral Triangle,-936,57,1920,1080
