x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
280,114,18:29:41:968,Square,0,0,1920,1080
END_OF_STROKE,0,0,18:29:41:998,END_OF_STROKE,0,0,0
270,107,18:29:43:600,Square,-7,-6,1920,1080
983,232,18:29:43:750,Square,1734,1001,1920,1080
1001,244,18:29:43:901,Square,0,74,1920,1080
977,267,18:29:44:067,Square,-612,0,1920,1080
961,269,18:29:44:285,Square,-8,0,1920,1080
END_OF_STROKE,0,0,18:29:44:299,END_OF_STROKE,0,0,0
307,117,18:29:45:251,Square,-795,-211,1920,1080
858,372,18:29:45:416,Square,2096,1501,1920,1080
918,393,18:29:45:566,Square,723,-167,1920,1080
971,386,18:29:45:716,Square,0,0,1920,1080
END_OF_STROKE,0,0,18:29:45:863,END_OF_STROKE,0,0,0
319,113,18:29:46:449,Square,-1256,-605,1920,1080
349,117,18:29:46:600,Square,1807,334,1920,1080
1189,510,18:29:46:766,Square,867,1251,1920,1080
1144,527,18:29:46:916,Square,-1734,0,1920,1080
1006,480,18:29:47:083,Square,-385,-445,1920,1080
END_OF_STROKE,0,0,18:29:47:330,END_OF_STROKE,0,0,0
303,112,18:29:47:899,Square,-1122,-628,1920,1080
503,196,18:29:48:049,Square,7588,3920,1920,1080
992,535,18:29:48:199,Square,204,314,1920,1080
1054,567,18:29:48:349,Square,884,392,1920,1080
END_OF_STROKE,0,0,18:29:48:481,END_OF_STROKE,0,0,0
310,124,18:29:49:148,Square,-1307,-897,1920,1080
710,385,18:29:49:299,Square,6257,5966,1920,1080
933,636,18:29:49:449,Square,476,549,1920,1080
959,654,18:29:49:612,Square,39,0,1920,1080
1025,623,18:29:49:766,Square,272,-157,1920,1080
END_OF_STROKE,0,0,18:29:49:915,END_OF_STROKE,0,0,0
247,567,18:29:53:113,Purple Diamond,-279,-20,1920,1080
915,638,18:29:53:264,Purple Diamond,1229,834,1920,1080
926,647,18:29:53:497,Purple Diamond,0,0,1920,1080
980,670,18:29:53:648,Purple Diamond,64,74,1920,1080
981,671,18:29:53:848,Purple Diamond,0,0,1920,1080
END_OF_STROKE,0,0,18:29:53:879,END_OF_STROKE,0,0,0
223,419,18:29:54:566,Hexagon,-1221,-468,1920,1080
541,369,18:29:54:730,Hexagon,7958,-863,1920,1080
850,367,18:29:54:880,Hexagon,136,0,1920,1080
853,367,18:29:55:031,Hexagon,136,0,1920,1080
END_OF_STROKE,0,0,18:29:55:045,END_OF_STROKE,0,0,0
256,389,18:29:55:631,Hexagon,-1186,50,1920,1080
714,412,18:29:55:781,Hexagon,5460,1260,1920,1080
822,478,18:29:55:931,Hexagon,68,235,1920,1080
822,489,18:29:56:081,Hexagon,0,78,1920,1080
859,518,18:29:56:231,Hexagon,204,157,1920,1080
END_OF_STROKE,0,0,18:29:56:327,END_OF_STROKE,0,0,0
264,401,18:29:56:965,Hexagon,-1073,-246,1920,1080
474,400,18:29:57:130,Hexagon,8166,0,1920,1080
1159,400,18:29:57:282,Hexagon,128,0,1920,1080
1154,396,18:29:57:447,Hexagon,0,-83,1920,1080
1099,330,18:29:57:614,Hexagon,-385,-593,1920,1080
END_OF_STROKE,0,0,18:29:57:744,END_OF_STROKE,0,0,0
217,392,18:29:58:396,Hexagon,-1418,129,1920,1080
247,392,18:29:58:547,Hexagon,1220,0,1920,1080
1064,479,18:29:58:697,Hexagon,5577,1570,1920,1080
1163,506,18:29:58:861,Hexagon,0,0,1920,1080
1039,537,18:29:59:013,Hexagon,-939,83,1920,1080
1027,533,18:29:59:178,Hexagon,72,-250,1920,1080
END_OF_STROKE,0,0,18:29:59:179,END_OF_STROKE,0,0,0
280,293,18:29:59:897,Equilateral Triangle,-1201,-445,1920,1080
673,312,18:30:00:063,Equilateral Triangle,3537,706,1920,1080
END_OF_STROKE,0,0,18:30:00:411,END_OF_STROKE,0,0,0
271,293,18:30:02:348,Equilateral Triangle,-244,-23,1920,1080
478,348,18:30:02:511,Equilateral Triangle,8166,2752,1920,1080
843,531,18:30:02:662,Equilateral Triangle,72,83,1920,1080
874,572,18:30:02:812,Equilateral Triangle,272,235,1920,1080
858,525,18:30:02:962,Equilateral Triangle,-578,-1705,1920,1080
858,440,18:30:03:112,Equilateral Triangle,476,-314,1920,1080
870,432,18:30:03:279,Equilateral Triangle,0,-74,1920,1080
END_OF_STROKE,0,0,18:30:03:327,END_OF_STROKE,0,0,0
292,305,18:30:04:212,Equilateral Triangle,-766,-188,1920,1080
410,345,18:30:04:378,Equilateral Triangle,4693,1962,1920,1080
763,546,18:30:04:545,Equilateral Triangle,0,74,1920,1080
768,546,18:30:04:695,Equilateral Triangle,72,0,1920,1080
END_OF_STROKE,0,0,18:30:04:725,END_OF_STROKE,0,0,0
293,295,18:30:05:378,Equilateral Triangle,-825,-502,1920,1080
1170,523,18:30:05:544,Equilateral Triangle,2108,942,1920,1080
1198,535,18:30:05:695,Equilateral Triangle,-64,-74,1920,1080
1059,422,18:30:05:845,Equilateral Triangle,-642,-593,1920,1080
END_OF_STROKE,0,0,18:30:06:013,END_OF_STROKE,0,0,0
285,307,18:30:06:694,Equilateral Triangle,-1106,-180,1920,1080
304,307,18:30:06:844,Equilateral Triangle,1092,0,1920,1080
1065,423,18:30:06:995,Equilateral Triangle,2040,942,1920,1080
1105,445,18:30:07:161,Equilateral Triangle,0,78,1920,1080
1099,444,18:30:07:328,Equilateral Triangle,-257,0,1920,1080
END_OF_STROKE,0,0,18:30:07:342,END_OF_STROKE,0,0,0
255,301,18:30:08:108,Equilateral Triangle,-1251,-245,1920,1080
942,332,18:30:08:260,Equilateral Triangle,3673,628,1920,1080
1030,350,18:30:08:410,Equilateral Triangle,0,0,1920,1080
1158,373,18:30:08:560,Equilateral Triangle,748,78,1920,1080
1164,375,18:30:08:760,Equilateral Triangle,0,0,1920,1080
END_OF_STROKE,0,0,18:30:08:775,END_OF_STROKE,0,0,0
228,499,18:30:09:994,Yellow Diamond,-877,134,1920,1080
751,259,18:30:10:144,Yellow Diamond,1700,-1491,1920,1080
END_OF_STROKE,0,0,18:30:10:442,END_OF_STROKE,0,0,0
END_OF_STROKE,0,0,18:30:10:711,END_OF_STROKE,0,0,0
783,233,18:30:10:876,Yellow Diamond,0,0,1920,1080
END_OF_STROKE,0,0,18:30:11:243,END_OF_STROKE,0,0,0
252,493,18:30:11:810,Yellow Diamond,-843,442,1920,1080
762,370,18:30:11:976,Yellow Diamond,11358,-3297,1920,1080
1072,250,18:30:12:126,Yellow Diamond,0,-83,1920,1080
1076,246,18:30:12:277,Yellow Diamond,204,-157,1920,1080
